Propeller,RPM@32N,Thrust@32N (N),Power@32N (W),Torque@32N (Nm),Cp@32N,Ct@32N,FOM@32N,Eff@32N (N/W),RPM@12N,Thrust@12N (N),Power@12N (W),Torque@12N (Nm),Cp@12N,Ct@12N,FOM@12N,Eff@12N (N/W)
14x6,8087,32,496.49,0.5848,0.029,0.08976,0.73978,0.064677,5099,12.5,128.387,0.2382,0.02966,0.08795,0.70258,0.098232
15x11,6194,32,497.96,0.7615,0.04546,0.1157,0.69136,0.065002,3882,12.5,126.691,0.3081,0.04665,0.11475,0.66465,0.100449
15x10E,6646,32,497.995,0.7084,0.03664,0.10042,0.69252,0.065203,4168,12.5,126.691,0.285,0.03742,0.09945,0.66802,0.100832
14x6E,8594,32,498.684,0.5506,0.0241,0.07926,0.73875,0.064763,5411,12.5,127.99,0.2223,0.02448,0.07772,0.70675,0.099813
14x7,7686,32,501.008,0.6182,0.03383,0.09908,0.73518,0.064515,4840,12.5,128.106,0.2509,0.03461,0.09742,0.70113,0.099048
16x14,5306,32,502.873,0.8919,0.05231,0.12139,0.64484,0.064988,3304,12.5,129.474,0.3597,0.05393,0.12086,0.62157,0.101544
14x7E,8181,32,502.881,0.5846,0.0283,0.08761,0.73126,0.064046,5150,12.5,128.603,0.2356,0.02867,0.08616,0.7028,0.098437
14x4W,8946,32,508.449,0.5426,0.022,0.07336,0.7214,0.063045,5645,12.5,133.827,0.2233,0.02258,0.07146,0.6749,0.095071
14x5N,9663,32,509.947,0.5016,0.0174,0.06276,0.72129,0.063165,6132,12.5,133.787,0.2067,0.01777,0.06085,0.67324,0.094139
20x225EP(CD),3396,32,510.544,1.3784,0.0639,0.11978,0.51738,0.066424,2122,12.5,128.908,0.5502,0.06524,0.11952,0.50534,0.103557
14x8,7368,32,510.907,0.6568,0.0391,0.10776,0.72194,0.063403,4623,12.5,131.367,0.2658,0.03996,0.10621,0.69059,0.097928
15x12,6123,32,512.211,0.7944,0.04858,0.11855,0.67086,0.062987,3827,12.5,131.096,0.321,0.04992,0.11775,0.64571,0.09789
15x135-3,5327,32,513.882,0.907,0.0729,0.1559,0.67362,0.063608,3317,12.5,132.739,0.3674,0.0755,0.1552,0.64603,0.098976
13x55MRF-RH,9037,32,520.918,0.5501,0.03161,0.09673,0.75822,0.061509,5682,12.5,132.693,0.2203,0.0319,0.09497,0.7325,0.095908
13x47SF,8341,32,522.197,0.594,0.04077,0.11497,0.76302,0.061892,5245,12.5,130.114,0.2334,0.0404,0.1132,0.75298,0.097988
14x85E,7839,32,522.433,0.6335,0.0334,0.09542,0.70403,0.061639,4930,12.5,131.882,0.2548,0.03393,0.09418,0.67909,0.095477
13x45MR,9831,32,524.923,0.5086,0.02518,0.0829,0.75698,0.061215,6203,12.5,133.972,0.2044,0.02536,0.08118,0.72803,0.094342
13x55MR,9119,32,525.841,0.5491,0.03161,0.09638,0.75559,0.06108,5737,12.5,133.42,0.2197,0.03178,0.09469,0.73111,0.095243
14x10,7087,32,532.559,0.7154,0.0461,0.11684,0.69052,0.060359,4427,12.5,137.268,0.2889,0.04736,0.11567,0.66298,0.094134
13x55E,9655,32,533.101,0.5249,0.0269,0.08589,0.74593,0.060443,6100,12.5,135.673,0.2115,0.02718,0.08404,0.716,0.092742
13x45EP(F2B),10593,32,536.229,0.4812,0.0205,0.07136,0.74215,0.060041,6703,12.5,137.746,0.1949,0.02069,0.06948,0.70514,0.091841
13x45EP,10593,32,536.229,0.4812,0.0205,0.07136,0.74215,0.060041,6703,12.5,137.746,0.1949,0.02069,0.06948,0.70514,0.091841
16x16,5284,32,540.045,0.9619,0.05699,0.12246,0.60042,0.060475,3288,12.5,138.195,0.3867,0.05855,0.12206,0.58104,0.095189
13x65E(F2B),9308,32,540.602,0.5517,0.03043,0.09239,0.73585,0.059611,5870,12.5,136.935,0.2218,0.03075,0.09066,0.70844,0.092068
14x10F,7164,32,540.615,0.7169,0.0477,0.11918,0.68865,0.05965,4476,12.5,137.67,0.2872,0.04851,0.11814,0.66723,0.093912
13x4E,11114,32,540.903,0.4642,0.01801,0.06488,0.7338,0.059301,7052,12.5,139.874,0.1889,0.01819,0.06302,0.69362,0.089601
13x65E,9324,32,541.107,0.5515,0.03033,0.09209,0.73562,0.059572,5881,12.5,137.484,0.2217,0.03064,0.09036,0.70757,0.091694
13x6,9549,32,541.416,0.5386,0.0281,0.08748,0.73439,0.059565,6044,12.5,139.147,0.2191,0.02859,0.08542,0.69662,0.090108
13x7F,8820,32,542.702,0.5856,0.0353,0.10139,0.72992,0.059284,5540,12.5,138.196,0.2349,0.03574,0.09972,0.70394,0.092431
13x4W,10065,32,543.353,0.5148,0.02391,0.07795,0.72759,0.058995,6364,12.5,141.982,0.2109,0.02435,0.07578,0.68346,0.089294
13x7,9137,32,544.155,0.5671,0.0319,0.0945,0.72696,0.059048,5753,12.5,140.014,0.2303,0.03252,0.0927,0.6923,0.090568
14x10E,7526,32,546.902,0.6878,0.03925,0.10326,0.67516,0.05925,4715,12.5,138.456,0.2761,0.03997,0.10231,0.65258,0.092489
14x11,6995,32,548.526,0.7485,0.0496,0.1201,0.66896,0.058356,4362,12.5,141.293,0.3019,0.05091,0.11911,0.64371,0.091361
13x4,10988,32,550.23,0.4783,0.0193,0.06749,0.72388,0.058172,6988,12.5,144.055,0.1965,0.0196,0.0652,0.6758,0.086824
135x9,8308,32,552.837,0.6315,0.0355,0.09815,0.69116,0.05839,5219,12.5,141.78,0.256,0.03639,0.09687,0.66084,0.089584
13x8,8893,32,555.945,0.596,0.0361,0.10135,0.71425,0.057754,5581,12.5,142.978,0.2415,0.03691,0.09983,0.68213,0.089251
125x6,9594,32,558.581,0.5531,0.03426,0.10018,0.73816,0.057713,6065,12.5,143.08,0.224,0.03478,0.09803,0.70379,0.087741
13x8E,8825,32,559.131,0.6032,0.03702,0.10289,0.71095,0.057534,5537,12.5,142.531,0.2421,0.03759,0.10146,0.68637,0.0897
135x10,7813,32,559.197,0.6802,0.04324,0.11103,0.68269,0.057627,4906,12.5,142.411,0.275,0.04438,0.10987,0.65559,0.08862
12x58SF,10029,32,559.652,0.533,0.03711,0.10822,0.76503,0.05723,6310,12.5,139.295,0.2082,0.0365,0.10622,0.75693,0.091158
12x47SF,9447,32,560.325,0.5633,0.04413,0.12161,0.76689,0.057599,5961,12.5,137.913,0.2208,0.0435,0.11948,0.75785,0.090914
12x45MR,10813,32,563.629,0.4967,0.02978,0.09297,0.76007,0.056989,6828,12.5,143.248,0.1988,0.02983,0.09093,0.73345,0.087995
12x45MRF-RH,10931,32,565.699,0.4938,0.02899,0.09106,0.75666,0.056656,6908,12.5,143.402,0.1978,0.02902,0.08896,0.72917,0.087592
12x7E-3,8640,32,566.673,0.6229,0.0583,0.14535,0.75784,0.056967,5423,12.5,144.554,0.2501,0.05915,0.14341,0.73165,0.088442
12x55MR,10047,32,567.325,0.5385,0.0374,0.10783,0.75519,0.056479,6319,12.5,143.934,0.2148,0.03754,0.10583,0.73255,0.088148
13x9,8138,32,567.38,0.6634,0.0479,0.12098,0.70083,0.056689,5112,12.5,144.065,0.2675,0.04884,0.11954,0.67423,0.087668
12x38SF,10241,32,567.429,0.5274,0.03517,0.10359,0.75572,0.056701,6454,12.5,141.664,0.2075,0.0347,0.10143,0.74282,0.089763
12x6SF,8654,32,567.529,0.6225,0.0581,0.14486,0.75765,0.056913,5431,12.5,140.806,0.2435,0.0574,0.14297,0.75129,0.0909
14x12,6936,32,568.005,0.7805,0.05253,0.12198,0.64662,0.056535,4326,12.5,145.616,0.3143,0.05394,0.1212,0.62391,0.088607
14x12N,7153,32,580.189,0.7711,0.04878,0.11455,0.63376,0.055555,4463,12.5,148.916,0.3108,0.05008,0.11379,0.61155,0.086761
12x6EP(F2B),10689,32,581.671,0.5176,0.03167,0.09511,0.73744,0.055313,6744,12.5,148.052,0.2077,0.03188,0.0931,0.71044,0.085394
12x6E,10695,32,581.934,0.5177,0.03167,0.09499,0.73748,0.055286,6749,12.5,147.77,0.2078,0.03188,0.093,0.70949,0.085504
13x10,8007,32,583.404,0.6959,0.052,0.1252,0.68003,0.054868,5027,12.5,148.173,0.2803,0.05308,0.12401,0.6553,0.084598
12x5,11502,32,584.536,0.4834,0.02555,0.0821,0.73451,0.055043,7294,12.5,151.358,0.1966,0.02584,0.07962,0.69382,0.083417
12x6,10256,32,584.644,0.5423,0.03605,0.10331,0.73354,0.055021,6469,12.5,150.036,0.2191,0.03651,0.10099,0.70063,0.084583
